month,month_end,active_clients_42d,active_clients_90d,intervention_period,is_partial_month
2025-07,2025-07-31,6,6,pre_gbp,1
2025-08,2025-08-31,30,30,pre_gbp,0
2025-09,2025-09-30,28,45,pre_gbp,0
2025-10,2025-10-31,24,53,pre_gbp,0
2025-11,2025-11-30,31,49,pre_gbp,0
2025-12,2025-12-31,32,48,pre_gbp,0
2026-01,2026-01-31,33,50,pre_gbp,0
2026-02,2026-02-28,41,57,pre_gbp,0
2026-03,2026-03-31,38,54,gbp_creation_month,0
2026-04,2026-04-30,40,69,post_gbp,0
2026-05,2026-05-31,37,63,post_gbp,0
2026-06,2026-06-30,36,66,post_gbp,0
2026-07,2026-07-31,36,59,post_gbp,0
2026-08,2026-08-31,41,62,post_gbp,1
