month,booked_service_appointments,completed_service_appointments,cancelled_service_appointments,no_show_service_appointments,unique_completed_clients,observed_new_clients,returning_clients,completion_rate,cancellation_rate,no_show_rate,completed_service_minutes,completed_service_value,intervention_period,is_partial_month
2025-07,12,8,4,0,6,6,1,0.6667,0.3333,0.0,330,260.0,pre_gbp,1
2025-08,30,28,1,1,24,24,3,0.9333,0.0333,0.0333,895,1065.0,pre_gbp,0
2025-09,34,29,5,0,22,15,8,0.8529,0.1471,0.0,895,1115.0,pre_gbp,0
2025-10,34,30,4,0,21,13,13,0.8824,0.1176,0.0,915,1160.0,pre_gbp,0
2025-11,34,28,6,0,23,12,13,0.8235,0.1765,0.0,840,1060.0,pre_gbp,0
2025-12,43,36,7,0,25,13,13,0.8372,0.1628,0.0,1100,1410.0,pre_gbp,0
2026-01,48,38,7,3,26,9,19,0.7917,0.1458,0.0625,1305,1475.0,pre_gbp,0
2026-02,48,38,9,1,32,15,17,0.7917,0.1875,0.0208,1650,1480.0,pre_gbp,0
2026-03,42,38,4,0,27,7,20,0.9048,0.0952,0.0,1725,1440.0,gbp_creation_month,0
2026-04,44,39,5,0,33,20,15,0.8864,0.1136,0.0,1680,1470.0,post_gbp,0
2026-05,54,46,4,4,30,9,24,0.8519,0.0741,0.0741,2085,1695.0,post_gbp,0
2026-06,46,41,5,0,29,9,25,0.8913,0.1087,0.0,1735,1430.0,post_gbp,0
2026-07,41,36,5,0,28,9,19,0.878,0.122,0.0,1660,1415.0,post_gbp,0
2026-08,78,64,10,4,43,19,33,0.8205,0.1282,0.0513,2965,2515.0,post_gbp,1
